Sheep Count, Grass Count
100,100
100,200
100,300
100,400
100,500
100,599
100,699
100,799
100,899
100,999
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
80,1000
