Sheep Count, Grass Count
100,100
100,200
100,299
100,399
100,499
100,599
100,699
100,799
100,899
100,999
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
100,1000
84,1000
